year	feb	mar	apr
2012	0.66403769275	1.5691313099038462	0.8907006573214284
2013	0.4077599260493827	1.9438139184403669	0.707645229484536
2014	0.9283998306363636	3.2660791981904764	0.9351865876851853
2015	0.6104331220202021	2.055342704220183	1.884415234090909
2016	0.552382126764706	3.2006175965765773	1.2160746933027524
2017	1.0235549621495328	1.4104224617857144	1.0388612954587155
2018	0.5504235055445544	1.901608006306306	1.902237388
2019	2.656870595740741	2.520116343243243	1.3248149416190476
2020	1.680956731792453	1.5118375499633028	0.7235517360582524
2021	0.8081040398989898	2.716317755752212	0.7913117708411215
2022	1.0265192978181816	2.82909118	0.23963000318032784
2023	0.9714386189719626	3.590209557657657	0.695364703853211
2024	2.0348784359999996	4.646936737142857	2.1040848684
2025	1.725648436574074	1.6658332742201836	0.7658882436697249
